round,oracleId,ok,status,latencyMs,source,error
1,1,true,200,364,db,""
1,2,true,200,287,db,""
1,3,true,200,338,db,""
1,4,true,200,436,db,""
1,5,true,200,392,db,""
1,6,true,200,358,db,""
1,7,true,200,345,db,""
1,8,true,200,371,db,""
1,9,true,200,485,db,""
1,10,true,200,417,db,""
2,1,true,200,41,db,""
2,2,true,200,134,db,""
2,3,true,200,49,db,""
2,4,true,200,61,db,""
2,5,true,200,72,db,""
2,6,true,200,85,db,""
2,7,true,200,92,db,""
2,8,true,200,124,db,""
2,9,true,200,106,db,""
2,10,true,200,148,db,""
3,1,true,200,33,db,""
3,2,true,200,42,db,""
3,3,true,200,51,db,""
3,4,true,200,62,db,""
3,5,true,200,78,db,""
3,6,true,200,92,db,""
3,7,true,200,128,db,""
3,8,true,200,138,db,""
3,9,true,200,119,db,""
3,10,true,200,181,db,""
