round,oracleId,ok,status,latencyMs,source,error
1,1,true,200,532,db,""
1,2,true,200,558,db,""
1,3,true,200,411,db,""
1,4,true,200,593,db,""
1,5,true,200,419,db,""
1,6,true,200,466,db,""
1,7,true,200,565,db,""
1,8,true,200,509,db,""
1,9,true,200,576,db,""
1,10,true,200,475,db,""
2,1,true,200,45,db,""
2,2,true,200,33,db,""
2,3,true,200,66,db,""
2,4,true,200,54,db,""
2,5,true,200,79,db,""
2,6,true,200,91,db,""
2,7,true,200,106,db,""
2,8,true,200,120,db,""
2,9,true,200,142,db,""
2,10,true,200,151,db,""
