round,oracleId,ok,status,latencyMs,source,error
1,1,false,0,320,error,"Request failed with status code 404"
1,2,false,0,266,error,"Request failed with status code 404"
1,3,false,0,243,error,"Request failed with status code 404"
1,4,false,0,285,error,"Request failed with status code 404"
1,5,false,0,274,error,"Request failed with status code 404"
1,6,false,0,251,error,"Request failed with status code 404"
1,7,false,0,264,error,"Request failed with status code 404"
1,8,false,0,239,error,"Request failed with status code 404"
1,9,false,0,296,error,"Request failed with status code 404"
1,10,false,0,298,error,"Request failed with status code 404"
